k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,2.7319906880435996,0.46661285732299596,"QwenPRM_min_scores, internlm_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, EurusPRMStage1_avg_scores","7.0, 0.0, 7.0, 7.0, 7.0",5,28.0
5,1.0,0.25,0.5,1.9389722441331239,0.24786285732299596,"internlm_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, EurusPRMStage1_avg_scores","0.0, 7.0, 7.0, 7.0, 7.0",5,28.0
5,1.0,0.25,1.0,0.42675571869032136,-0.13096618600476073,"internlm_scores, GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores","0.0, 2.0, 7.0, 7.0, 7.0",5,23.0
5,1.0,0.5,0.25,2.2409742432654114,0.279307791129695,"QwenPRM_min_scores, internlm_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, EurusPRMStage1_avg_scores","7.0, 0.0, 7.0, 7.0, 7.0",5,28.0
5,1.0,0.5,0.5,1.5548149937108802,0.08264106769065727,"internlm_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, QwenPRM_min_scores","0.0, 7.0, 7.0, 7.0, 7.0",5,28.0
5,1.0,0.5,1.0,0.07194623201876282,-0.24934280145982968,"internlm_scores, EurusPRMStage1_max_scores, GRMGemma_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores","0.0, 7.0, 2.0, 7.0, 7.0",5,23.0
5,1.0,1.0,0.25,1.6232562487121833,0.15459488969334723,"QwenPRM_min_scores, GRMLlama32_scores, GPM_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores","7.0, 3.0, 8.0, 7.0, 7.0",5,32.0
5,1.0,1.0,0.5,1.1856595897696842,-0.23447574576476682,"internlm_scores, GPM_scores, EurusPRMStage1_avg_scores, QwenPRM_avg_scores, GRMGemma_scores","0.0, 8.0, 7.0, 7.0, 2.0",5,24.0
5,1.0,1.0,1.0,-0.31434041023031567,-0.4466001834541009,"internlm_scores, GPM_scores, EurusPRMStage1_avg_scores, GRMGemma_scores, QwenPRM_avg_scores","0.0, 8.0, 7.0, 2.0, 7.0",5,24.0
10,1.0,0.25,0.25,4.472450224849014,0.27569725090143027,"QwenPRM_min_scores, internlm_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, EurusPRMStage1_avg_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, GPM_scores","7.0, 0.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0",10,64.0
