k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,3.902780406700267,0.6974890216075341,"DeepSeekQwen32B_verdicts, QwenPRM_max_scores, GPM_scores, QwenPRM_min_scores, SkyT1_verdicts","32.0, 7.0, 8.0, 7.0, 32.0",5,86.0
5,1.0,0.25,0.5,3.8559911246675567,0.6840330729081567,"QwenPRM_max_scores, DeepSeekQwen32B_verdicts, GPM_scores, QwenPRM_min_scores, EurusPRMStage2_avg_scores","7.0, 32.0, 8.0, 7.0, 7.0",5,61.0
5,1.0,0.25,1.0,3.7806824826922476,0.6753910975995148,"QwenPRM_max_scores, GPM_scores, DeepSeekQwen32B_verdicts, QwenPRM_min_scores, EurusPRMStage2_avg_scores","7.0, 8.0, 32.0, 7.0, 7.0",5,61.0
5,1.0,0.5,0.25,3.7044088815611023,0.6153314306763578,"DeepSeekQwen32B_verdicts, GPM_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_max_scores","32.0, 8.0, 7.0, 7.0, 7.0",5,61.0
5,1.0,0.5,0.5,3.6666527232109343,0.6110104430220368,"QwenPRM_max_scores, GPM_scores, DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage1_max_scores","7.0, 8.0, 32.0, 7.0, 7.0",5,61.0
5,1.0,0.5,1.0,3.591344081235626,0.6023684677133948,"QwenPRM_max_scores, GPM_scores, DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage1_max_scores","7.0, 8.0, 32.0, 7.0, 7.0",5,61.0
5,1.0,1.0,0.25,3.4063829967291825,0.5429687372320037,"DeepSeekQwen32B_verdicts, GPM_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, EurusPRMStage2_avg_scores","32.0, 8.0, 7.0, 7.0, 7.0",5,61.0
5,1.0,1.0,0.5,3.4030796512129293,0.5398953805703011,"QwenPRM_max_scores, GPM_scores, SkyT1_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage1_max_scores","7.0, 8.0, 32.0, 7.0, 7.0",5,61.0
5,1.0,1.0,1.0,3.324442179813002,0.5186192406084074,"QwenPRM_max_scores, GPM_scores, InternLM2Reward7B_scores, LDLRewardGemma_scores, DeepSeekQwen32B_verdicts","7.0, 8.0, 7.0, 27.0, 32.0",5,81.0
10,1.0,0.25,0.25,7.198036550809961,0.6299706984670373,"DeepSeekQwen32B_verdicts, QwenPRM_max_scores, GPM_scores, QwenPRM_min_scores, SkyT1_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, Llama-3.3-70B-Instruct_verdicts, EurusPRMStage1_avg_scores, QwenPRM_avg_scores","32.0, 7.0, 8.0, 7.0, 32.0, 7.0, 72.0, 70.0, 7.0, 7.0",10,249.0
10,1.0,0.25,0.5,7.044332847106258,0.6162513625915915,"QwenPRM_max_scores, DeepSeekQwen32B_verdicts, GPM_scores, QwenPRM_min_scores, EurusPRMStage2_avg_scores, SkyT1_verdicts, EurusPRMStage1_avg_scores, QwenPRM_avg_scores, Qwen72B_scores, Llama-3.3-70B-Instruct_verdicts","7.0, 32.0, 8.0, 7.0, 7.0, 32.0, 7.0, 7.0, 72.0, 70.0",10,249.0
