cluster_id,k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
0,5,1.0,0.25,0.25,2.289417373474108,0.373824321347619,"QwenPRM_min_scores, GRMGemma_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores","7.0, 2.0, 7.0, 7.0, 7.0"
0,5,1.0,0.25,0.5,1.3519173734741075,0.155074321347619,"GRMGemma_scores, QwenPRM_min_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores","2.0, 7.0, 7.0, 7.0, 7.0"
0,5,1.0,0.25,1.0,-0.2842587852292002,-0.27946555409820695,"GRMGemma_scores, GRMLlama32_scores, QwenPRM_min_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores","2.0, 3.0, 7.0, 7.0, 7.0"
0,5,1.0,0.5,0.25,2.096445091721648,0.3188474125536285,"QwenPRM_min_scores, GRMGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores","7.0, 2.0, 7.0, 7.0, 7.0"
0,5,1.0,0.5,0.5,1.33994220420268,0.0703151666165287,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 7.0, 7.0"
0,5,1.0,0.5,1.0,-0.42831821729427966,-0.29392376515980234,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GRMLlama32_scores, QwenPRM_max_scores","2.0, 7.0, 7.0, 3.0, 7.0"
0,5,1.0,1.0,0.25,1.967363084178114,0.21401547127074105,"QwenPRM_min_scores, GPM_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores","7.0, 8.0, 3.0, 7.0, 7.0"
0,5,1.0,1.0,0.5,1.2566516409611417,-0.06779880441858716,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 7.0, 7.0"
0,5,1.0,1.0,1.0,-0.6183483590388583,-0.5052988044185871,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.25,0.25,3.845539260144042,0.2623267689543771,"QwenPRM_min_scores, GRMGemma_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, GRM_scores, EurusPRMStage1_min_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0"
0,10,1.0,0.25,0.5,1.9010931685299763,0.04357676895437712,"GRMGemma_scores, QwenPRM_min_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores","2.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.25,1.0,-1.9114068314700237,-0.3939232310456229,"GRMGemma_scores, GRMLlama32_scores, QwenPRM_min_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.5,0.25,2.892839275268038,0.07898765574100808,"QwenPRM_min_scores, GRMGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, GRM_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0"
