k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,1.8353554468135642,0.24944795667220732,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GRMLlama32_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 3.0, 7.0",5,26.0
5,1.0,0.25,0.5,1.0186361964234103,0.030697956672207316,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores","2.0, 7.0, 3.0, 7.0, 7.0",5,26.0
5,1.0,0.25,1.0,-0.6085220892834922,-0.4068020433277927,"GRMGemma_scores, GRMLlama32_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores","2.0, 3.0, 7.0, 7.0, 7.0",5,26.0
5,1.0,0.5,0.25,1.8011497182276885,0.1947861116939394,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores","2.0, 7.0, 7.0, 7.0, 8.0",5,31.0
5,1.0,0.5,0.5,0.8323997182276885,-0.05521388830606061,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores","2.0, 7.0, 7.0, 7.0, 8.0",5,31.0
5,1.0,0.5,1.0,-0.8209602182768669,-0.44946336099635636,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores","2.0, 7.0, 3.0, 7.0, 7.0",5,26.0
5,1.0,1.0,0.25,1.7121354772144146,0.013932243029441793,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 8.0, 7.0",5,31.0
5,1.0,1.0,0.5,0.7433854772144146,-0.2048177569705582,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 8.0, 7.0",5,31.0
5,1.0,1.0,1.0,-1.1941145227855854,-0.6423177569705583,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","2.0, 7.0, 7.0, 8.0, 7.0",5,31.0
10,1.0,0.25,0.25,2.7921109471833137,0.16601349616914884,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, GPM_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores","2.0, 7.0, 7.0, 3.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0",10,62.0
10,1.0,0.25,0.5,0.85039169679316,-0.052736503830851156,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores","2.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0",10,62.0
10,1.0,0.25,1.0,-2.990335822030561,-0.5003440543371964,"GRMGemma_scores, GRMLlama32_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,61.0
10,1.0,0.5,0.25,2.0489702047085503,0.019685561850795175,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores, GRMLlama32_scores","2.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 3.0",10,62.0
10,1.0,0.5,0.5,0.08276537458083183,-0.19650958850841588,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, GRMLlama32_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores","2.0, 7.0, 7.0, 7.0, 8.0, 3.0, 7.0, 7.0, 7.0, 7.0",10,62.0
10,1.0,0.5,1.0,-3.8017440120805794,-0.6340095885084158,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores","2.0, 7.0, 3.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0",10,62.0
10,1.0,1.0,0.25,0.49989109614194194,-0.3361759376602793,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores","2.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,66.0
10,1.0,1.0,0.5,-1.5587783636835568,-0.557575623575408,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores","2.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0",10,62.0
